Order ID,Customer ID,Product ID,Order Date,Fulfillment Status
3001,4541,1184,2024-08-03 01:40:55.784157,On Time
3002,4016,1213,2024-08-03 01:40:55.784167,Delayed
3003,4613,1374,2024-08-15 01:40:55.784171,On Time
3004,4485,1139,2024-08-12 01:40:55.784175,On Time
3005,4301,1298,2024-07-30 01:40:55.784179,On Time
3006,4352,1367,2024-08-12 01:40:55.784184,Delayed
3007,4706,1326,2024-07-22 01:40:55.784188,On Time
3008,4271,1079,2024-07-27 01:40:55.784192,On Time
3009,4033,1090,2024-07-23 01:40:55.784196,On Time
3010,4049,1295,2024-08-10 01:40:55.784200,On Time
3011,4387,1118,2024-08-09 01:40:55.784204,On Time
3012,4108,1431,2024-08-08 01:40:55.784207,Delayed
3013,4917,1005,2024-08-13 01:40:55.784211,On Time
3014,4649,1339,2024-08-03 01:40:55.784215,On Time
3015,4914,1459,2024-07-26 01:40:55.784219,On Time
3016,4055,1376,2024-08-10 01:40:55.784223,On Time
3017,4084,1103,2024-07-24 01:40:55.784226,On Time
3018,4627,1417,2024-07-21 01:40:55.784230,On Time
3019,4675,1433,2024-08-08 01:40:55.784234,On Time
3020,4585,1418,2024-07-28 01:40:55.784238,On Time
3021,4600,1351,2024-08-16 01:40:55.784242,On Time
3022,4087,1466,2024-07-26 01:40:55.784246,On Time
3023,4090,1262,2024-08-12 01:40:55.784250,On Time
3024,4362,1134,2024-08-15 01:40:55.784253,On Time
3025,4832,1052,2024-07-24 01:40:55.784257,On Time
3026,4718,1111,2024-07-30 01:40:55.784261,Delayed
3027,4377,1329,2024-08-09 01:40:55.784267,On Time
3028,4944,1424,2024-07-27 01:40:55.784271,On Time
3029,4271,1144,2024-07-31 01:40:55.784275,Delayed
3030,4697,1160,2024-08-08 01:40:55.784278,On Time
3031,4681,1183,2024-07-22 01:40:55.784282,On Time
3032,4695,1473,2024-07-24 01:40:55.784286,Delayed
3033,4593,1484,2024-08-01 01:40:55.784290,On Time
3034,4807,1165,2024-08-13 01:40:55.784294,On Time
3035,4026,1037,2024-07-22 01:40:55.784298,Delayed
3036,4442,1244,2024-08-12 01:40:55.784302,On Time
3037,4217,1251,2024-08-02 01:40:55.784306,On Time
3038,4338,1328,2024-08-12 01:40:55.784309,On Time
3039,4064,1209,2024-07-28 01:40:55.784313,On Time
3040,4115,1067,2024-08-16 01:40:55.784317,On Time
3041,4166,1307,2024-08-13 01:40:55.784320,On Time
3042,4735,1325,2024-08-09 01:40:55.784324,On Time
3043,4962,1378,2024-07-26 01:40:55.784329,On Time
3044,4778,1115,2024-08-09 01:40:55.784333,On Time
3045,4622,1226,2024-07-25 01:40:55.784337,On Time
3046,4828,1389,2024-07-23 01:40:55.784341,On Time
3047,4751,1224,2024-07-20 01:40:55.784345,On Time
3048,4386,1137,2024-07-21 01:40:55.784348,On Time
3049,4281,1012,2024-07-29 01:40:55.784352,On Time
3050,4422,1442,2024-08-15 01:40:55.784356,On Time
3051,4889,1264,2024-08-07 01:40:55.784360,On Time
3052,4537,1030,2024-08-05 01:40:55.784364,On Time
3053,4061,1464,2024-07-29 01:40:55.784367,On Time
3054,4978,1310,2024-08-10 01:40:55.784371,On Time
3055,4232,1161,2024-08-12 01:40:55.784375,On Time
3056,4742,1402,2024-07-18 01:40:55.784378,On Time
3057,4455,1398,2024-07-24 01:40:55.784382,On Time
3058,4236,1005,2024-07-24 01:40:55.784386,On Time
3059,4463,1169,2024-07-19 01:40:55.784390,On Time
3060,4217,1422,2024-08-10 01:40:55.784394,On Time
3061,4489,1097,2024-07-29 01:40:55.784398,On Time
3062,4984,1201,2024-08-14 01:40:55.784401,On Time
3063,4550,1212,2024-07-25 01:40:55.784405,On Time
3064,4541,1451,2024-08-14 01:40:55.784409,On Time
3065,4131,1071,2024-08-12 01:40:55.784413,On Time
3066,4725,1432,2024-07-28 01:40:55.784417,On Time
3067,4441,1241,2024-08-07 01:40:55.784421,On Time
3068,4464,1320,2024-07-19 01:40:55.784424,On Time
3069,4798,1433,2024-08-12 01:40:55.784428,On Time
3070,4720,1202,2024-08-16 01:40:55.784432,On Time
3071,4009,1064,2024-07-18 01:40:55.784435,On Time
3072,4275,1053,2024-07-19 01:40:55.784439,Delayed
3073,4864,1254,2024-08-06 01:40:55.784443,Delayed
3074,4713,1084,2024-08-07 01:40:55.784446,On Time
3075,4700,1023,2024-08-03 01:40:55.784450,On Time
3076,4223,1235,2024-07-28 01:40:55.784454,On Time
3077,4688,1071,2024-08-01 01:40:55.784458,On Time
3078,4128,1273,2024-08-07 01:40:55.784462,Delayed
3079,4998,1108,2024-08-02 01:40:55.784466,On Time
3080,4743,1014,2024-08-01 01:40:55.784469,On Time
3081,4593,1368,2024-07-18 01:40:55.784473,On Time
3082,4390,1017,2024-08-09 01:40:55.784477,On Time
3083,4173,1324,2024-07-19 01:40:55.784480,On Time
3084,4599,1337,2024-08-08 01:40:55.784484,On Time
3085,4502,1323,2024-07-22 01:40:55.784488,On Time
3086,4549,1439,2024-08-11 01:40:55.784491,On Time
3087,4815,1050,2024-07-18 01:40:55.784495,On Time
3088,4782,1012,2024-08-09 01:40:55.784499,On Time
3089,4114,1113,2024-08-12 01:40:55.784503,On Time
3090,4144,1398,2024-08-12 01:40:55.784506,On Time
3091,4369,1146,2024-08-04 01:40:55.784510,Delayed
3092,4457,1427,2024-07-31 01:40:55.784514,On Time
3093,4032,1136,2024-07-25 01:40:55.784517,On Time
3094,4986,1446,2024-08-04 01:40:55.784521,On Time
3095,4046,1384,2024-08-15 01:40:55.784525,On Time
3096,4022,1056,2024-08-08 01:40:55.784529,On Time
3097,4593,1434,2024-07-30 01:40:55.784532,On Time
3098,4163,1464,2024-07-20 01:40:55.784536,On Time
3099,4650,1215,2024-08-06 01:40:55.784540,On Time
3100,4394,1187,2024-07-20 01:40:55.784544,On Time
3101,4350,1066,2024-07-21 01:40:55.784547,Delayed
3102,4799,1058,2024-07-20 01:40:55.784551,On Time
3103,4267,1460,2024-08-16 01:40:55.784555,On Time
3104,4999,1416,2024-07-24 01:40:55.784559,On Time
3105,4932,1419,2024-07-29 01:40:55.784562,On Time
3106,4377,1386,2024-08-08 01:40:55.784566,On Time
3107,4953,1105,2024-08-11 01:40:55.784570,On Time
3108,4559,1085,2024-08-01 01:40:55.784573,Delayed
3109,4095,1406,2024-08-02 01:40:55.784577,On Time
3110,4156,1114,2024-07-29 01:40:55.784581,Delayed
3111,4438,1389,2024-07-30 01:40:55.784585,Delayed
3112,4581,1179,2024-08-16 01:40:55.784589,On Time
3113,4210,1408,2024-08-13 01:40:55.784592,On Time
3114,4698,1215,2024-08-03 01:40:55.784596,Delayed
3115,4302,1227,2024-07-18 01:40:55.784600,On Time
3116,4885,1257,2024-07-22 01:40:55.784603,On Time
3117,4267,1004,2024-08-05 01:40:55.784607,On Time
3118,4685,1318,2024-08-09 01:40:55.784611,On Time
3119,4152,1192,2024-08-15 01:40:55.784615,On Time
3120,4491,1212,2024-08-11 01:40:55.784618,On Time
3121,4082,1060,2024-07-29 01:40:55.784622,On Time
3122,4808,1292,2024-07-29 01:40:55.784626,Delayed
3123,4761,1460,2024-07-31 01:40:55.784629,On Time
3124,4190,1295,2024-08-12 01:40:55.784633,On Time
3125,4439,1476,2024-08-10 01:40:55.784637,On Time
3126,4360,1383,2024-07-20 01:40:55.784640,Delayed
3127,4923,1436,2024-07-20 01:40:55.784644,On Time
3128,4118,1083,2024-08-16 01:40:55.784648,On Time
3129,4698,1473,2024-07-20 01:40:55.784651,On Time
3130,4858,1331,2024-07-20 01:40:55.784656,On Time
3131,4947,1290,2024-08-10 01:40:55.784660,On Time
3132,4103,1274,2024-08-02 01:40:55.784663,On Time
3133,4220,1212,2024-07-21 01:40:55.784667,On Time
3134,4763,1048,2024-07-28 01:40:55.784671,On Time
3135,4024,1100,2024-08-12 01:40:55.784675,On Time
3136,4546,1307,2024-08-01 01:40:55.784678,On Time
3137,4799,1182,2024-07-23 01:40:55.784682,Delayed
3138,4809,1436,2024-08-04 01:40:55.784686,On Time
3139,4421,1480,2024-08-08 01:40:55.784690,On Time
3140,4988,1200,2024-08-04 01:40:55.784693,On Time
3141,4378,1488,2024-08-09 01:40:55.784697,On Time
3142,4337,1104,2024-08-02 01:40:55.784701,On Time
3143,4212,1076,2024-08-08 01:40:55.784704,On Time
3144,4495,1487,2024-08-13 01:40:55.784708,On Time
3145,4377,1452,2024-08-13 01:40:55.784712,On Time
3146,4383,1059,2024-08-12 01:40:55.784715,On Time
3147,4566,1274,2024-08-04 01:40:55.784719,On Time
3148,4154,1303,2024-08-09 01:40:55.784723,On Time
3149,4393,1034,2024-08-03 01:40:55.784726,On Time
3150,4030,1322,2024-08-01 01:40:55.784730,On Time
3151,4826,1479,2024-07-25 01:40:55.784734,On Time
3152,4336,1477,2024-07-28 01:40:55.784738,On Time
3153,4624,1232,2024-07-21 01:40:55.784741,On Time
3154,4065,1245,2024-08-13 01:40:55.784745,On Time
3155,4761,1375,2024-07-24 01:40:55.784749,On Time
3156,4692,1497,2024-07-19 01:40:55.784753,On Time
3157,4445,1194,2024-08-13 01:40:55.784756,On Time
3158,4246,1189,2024-07-28 01:40:55.784760,On Time
3159,4056,1490,2024-07-18 01:40:55.784764,On Time
3160,4140,1424,2024-08-01 01:40:55.784767,On Time
3161,4499,1236,2024-08-10 01:40:55.784771,On Time
3162,4343,1300,2024-08-03 01:40:55.784775,On Time
3163,4227,1240,2024-08-05 01:40:55.784778,On Time
3164,4474,1294,2024-08-16 01:40:55.784782,On Time
3165,4937,1259,2024-08-16 01:40:55.784786,On Time
3166,4372,1455,2024-07-18 01:40:55.784789,On Time
3167,4225,1041,2024-07-30 01:40:55.784793,On Time
3168,4951,1413,2024-07-19 01:40:55.784797,On Time
3169,4734,1153,2024-08-11 01:40:55.784801,On Time
3170,4197,1276,2024-07-30 01:40:55.784804,On Time
3171,4438,1041,2024-07-24 01:40:55.784808,Delayed
3172,4168,1144,2024-08-11 01:40:55.784812,On Time
3173,4057,1155,2024-07-21 01:40:55.784815,On Time
3174,4111,1180,2024-08-06 01:40:55.784819,Delayed
3175,4330,1028,2024-07-30 01:40:55.784823,Delayed
3176,4324,1235,2024-07-22 01:40:55.784827,On Time
3177,4203,1061,2024-07-22 01:40:55.784830,Delayed
3178,4896,1442,2024-07-21 01:40:55.784834,On Time
3179,4151,1114,2024-08-07 01:40:55.784838,On Time
3180,4285,1449,2024-08-14 01:40:55.784841,On Time
3181,4345,1363,2024-08-16 01:40:55.784845,On Time
3182,4855,1156,2024-08-14 01:40:55.784849,On Time
3183,4517,1426,2024-07-23 01:40:55.784852,On Time
3184,4853,1033,2024-08-04 01:40:55.784856,On Time
3185,4597,1379,2024-07-23 01:40:55.784860,On Time
3186,4703,1221,2024-08-07 01:40:55.784863,On Time
3187,4094,1201,2024-07-24 01:40:55.784867,On Time
3188,4112,1362,2024-08-06 01:40:55.784871,On Time
3189,4437,1396,2024-07-23 01:40:55.784875,Delayed
3190,4143,1308,2024-07-24 01:40:55.784878,On Time
3191,4453,1072,2024-07-21 01:40:55.784882,On Time
3192,4088,1049,2024-07-28 01:40:55.784886,On Time
3193,4751,1253,2024-08-16 01:40:55.784889,On Time
3194,4516,1495,2024-08-02 01:40:55.784893,On Time
3195,4442,1274,2024-07-22 01:40:55.784897,On Time
3196,4947,1099,2024-07-21 01:40:55.784901,On Time
3197,4984,1456,2024-07-23 01:40:55.784904,On Time
3198,4647,1473,2024-07-30 01:40:55.784908,On Time
3199,4587,1397,2024-08-02 01:40:55.784912,On Time
3200,4885,1465,2024-07-26 01:40:55.784915,On Time
3201,4463,1408,2024-07-29 01:40:55.784919,Delayed
3202,4781,1150,2024-08-01 01:40:55.784923,On Time
3203,4147,1204,2024-08-13 01:40:55.784928,Delayed
3204,4448,1107,2024-08-11 01:40:55.784932,On Time
3205,4089,1096,2024-08-06 01:40:55.784936,On Time
